City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
591,Mwense,ZM,-10.3845,28.698,66.33,92,27,3.33,light rain
592,Pechenga,RU,69.5259,31.1703,35.24,98,99,2.8,overcast clouds
593,Locri,IT,38.2414,16.2623,56.32,49,0,5.95,clear sky
594,Henties Bay,NA,-22.116,14.2845,70.65,62,36,6.31,scattered clouds
595,Aklavik,CA,68.2191,-135.0107,23.81,76,32,3.2,scattered clouds
596,Paamiut,GL,61.994,-49.6678,20.46,65,40,34.69,scattered clouds
597,Nemuro,JP,43.3236,145.575,39.04,83,0,13.33,clear sky
598,Valdivia,CL,-39.8142,-73.2459,53.69,97,100,2.26,moderate rain
599,Canico,PT,32.6333,-16.85,63.23,75,40,20.71,scattered clouds
600,Palmas Bellas,PA,9.2319,-80.0867,81.61,71,100,8.63,overcast clouds
601,Sinnamary,GF,5.3833,-52.95,78.22,88,100,10.42,overcast clouds
602,Shugurovo,RU,54.5083,52.1326,52.54,80,100,2.8,overcast clouds
603,Carhuaz,PE,-9.2819,-77.6447,62.82,74,60,6.55,light rain
604,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.97,94,100,2.64,moderate rain
605,Kendari,ID,-3.945,122.4989,74.7,95,96,3.49,overcast clouds
606,Tahara,JP,34.6667,137.2667,54.95,29,3,3.94,clear sky
607,Hovd,MN,48.0056,91.6419,34.12,87,100,10.71,snow
608,Vila Do Maio,CV,15.1333,-23.2167,72.39,83,38,13.09,scattered clouds
609,Tuy Hoa,VN,13.0833,109.3,74.05,92,95,6.04,overcast clouds
610,Kalemie,CD,-5.9475,29.1947,71.76,86,98,2.77,overcast clouds
611,Brae,GB,60.3964,-1.353,45.48,87,1,4.47,clear sky
612,Alpharetta,US,34.0754,-84.2941,65.52,32,0,3.0,clear sky
613,Mancio Lima,BR,-7.6142,-72.8958,79.41,93,49,2.98,scattered clouds
614,Immokalee,US,26.4187,-81.4173,91.9,47,0,14.34,clear sky
615,Mahibadhoo,MV,3.7833,72.9667,84.31,63,69,5.08,broken clouds
616,Hobyo,SO,5.3505,48.5268,82.69,72,22,13.22,few clouds
617,Mayumba,GA,-3.432,10.6554,76.14,93,100,9.37,overcast clouds
618,Waipawa,NZ,-41.4122,175.5153,61.99,80,57,5.3,broken clouds
619,Mackay,AU,-21.15,149.2,68.68,75,98,7.58,overcast clouds
620,Hailar,CN,49.2,119.7,48.94,56,100,7.29,overcast clouds
621,Ambatofinandrahana,MG,-20.55,46.8,61.36,87,100,2.8,overcast clouds
622,Bonavista,CA,48.6499,-53.1147,29.35,68,100,12.03,overcast clouds
623,Luanda,AO,-8.8368,13.2343,75.92,95,100,5.97,heavy intensity rain
624,Richards Bay,ZA,-28.783,32.0377,63.77,82,0,2.26,clear sky
625,Nantucket,US,41.2835,-70.0995,51.91,70,0,31.07,clear sky
626,Oranjemund,NA,-28.55,16.4333,70.83,38,2,5.23,clear sky
627,Mpika,ZM,-11.8343,31.4529,61.41,98,26,5.86,scattered clouds
628,Burnie,AU,-41.0667,145.9167,54.95,91,68,11.34,broken clouds
629,Pacific Grove,US,36.6177,-121.9166,67.01,76,40,9.22,scattered clouds
630,Okhotsk,RU,59.3833,143.3,26.28,93,100,19.48,overcast clouds
