City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Cajamarca,PE,64.47,broken clouds,-7.1638,-78.5003,Hotel Costa del Sol Cajamarca
531,Aksu,CN,64.36,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
532,Paracuru,BR,83.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
533,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
534,Araceli,PH,82.22,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
535,Pyaozerskiy,RU,36.0,overcast clouds,65.8333,31.1667,Taratuga
536,Tabora,TZ,70.66,broken clouds,-5.0167,32.8,Barcelona Lodge
537,Acireale,IT,55.06,clear sky,37.6125,15.1663,Santa Caterina Hotel
538,Sulangan,PH,81.37,scattered clouds,11.1373,123.7228,Maia's Beach Resort
539,Chuzhou,CN,55.96,overcast clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
540,Naryan-Mar,RU,22.71,overcast clouds,67.6713,53.087,Hostel Agat
541,Roma,US,40.95,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
542,Nevsehir,TR,45.61,broken clouds,38.9167,34.6667,
543,Starotitarovskaya,RU,48.67,light rain,45.2136,37.1439,Отель придорожный
544,Dharchula,IN,65.61,clear sky,29.85,80.5333,Mahara Hotel
545,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
546,Leshukonskoye,RU,34.39,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
547,Mananjary,MG,71.67,broken clouds,-21.2167,48.3333,Vahiny Lodge
548,Bose,IT,57.29,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
549,Irtyshskiy,RU,34.9,overcast clouds,58.3333,68.1333,
550,Solnechnyy,RU,39.9,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
551,Hofn,IS,44.24,clear sky,64.2539,-15.2082,Hótel Höfn
552,Alindao,CF,72.57,light rain,5.0267,21.2088,OCHA Alindao
553,Fredericksburg,US,55.87,scattered clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
554,Smithers,CA,40.51,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
555,Ban Nahin,LA,67.39,overcast clouds,18.2418,104.2122,
556,Lanzhou,CN,46.24,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
557,Shelburne,CA,34.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
558,Rio Gallegos,AR,52.81,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
559,Palmer,US,47.07,overcast clouds,42.1584,-72.3287,Wedgewood Motel
560,Karatau,KZ,55.56,overcast clouds,43.1667,70.4667,Baza Zika
561,Killam,CA,34.66,snow,52.7834,-111.8518,Wagon Wheel Motel
562,Cumpas,MX,95.99,overcast clouds,29.9833,-109.7833,Hotel La Palma
